iter	Passed	Remaining
398	111613	28253
399	111858	27964
400	112078	27670
401	112325	27382
402	112558	27092
403	112854	26816
404	113205	26554
405	113479	26273
406	113742	25990
407	113933	25690
408	114152	25398
409	114423	25117
410	114678	24833
411	114996	24562
412	115287	24285
413	115559	24005
414	115818	23721
415	116051	23433
416	116404	23169
417	116668	22887
418	116948	22608
419	117201	22324
420	117502	22049
421	117790	21771
422	118056	21490
423	118327	21209
424	118571	20924
425	118817	20639
426	119077	20357
427	119336	20075
428	119551	19785
429	119808	19503
430	120075	19223
431	120319	18939
432	120529	18650
433	120813	18372
434	121074	18091
435	121372	17816
436	121654	17538
437	121954	17262
438	122204	16980
439	122462	16699
440	122709	16416
441	122969	16136
442	123234	15856
443	123523	15579
444	123798	15300
445	124196	15037
446	124452	14756
447	124742	14479
448	125073	14206
449	125374	13930
450	125700	13657
451	125987	13379
452	126472	13121
453	126811	12848
454	127149	12575
455	127502	12302
456	127775	12022
457	128390	11773
458	128767	11502
459	129111	11227
460	129418	10948
461	129827	10678
462	130113	10397
463	130390	10116
464	130723	9839
465	131058	9562
466	131364	9282
467	131684	9004
468	132050	8728
469	132353	8448
470	132728	8172
471	133205	7902
472	133601	7626
473	133998	7350
474	134502	7079
475	134866	6799
476	135156	6516
477	135496	6236
478	135856	5956
479	136194	5674
480	136525	5392
481	136525	5392
482	136844	4826
483	137429	4552
484	138401	4289
485	139061	4014
486	139517	3731
487	139976	3449
488	140419	3165
489	140419	3165
490	140419	3165
491	142520	2331
492	143307	2047
493	144061	1760
494	144502	1468
495	144874	1175
496	145151	881
497	145378	587
498	145996	294
499	146532	0
